Ad group,Ad ID,Source,Title Part 1,Title Part 2,Title Part 3,Ad description,Ad description 2,Impressions,Clicks,CTR [%]
Ad 2,[72361737341021],Students,Don’t punish yourself,& your baby,,Get birth control pills,,337,4,1.187
Ad 2,[72361737340509],Students,Birth control,yourself easily!,,You don’t need to spend too much time getting the right service for you!,"Just tell us what you need, our doctors will examine it and we will deliver.",385,5,1.299
Ad 2,[72361737339991],Students,Your Birth Control,Get It Easy And Fast,,"Order Online with Free, Fast Shipping To Your Door",,436,6,1.376
Ad 2,[72361737342247],Prolific,Your contraceptive,to your door,,Have your own contraceptive delivered,straight to your door without having to leave the house,334,5,1.497
Ad 2,[72361737342356],Prolific,NURX Birth control pills,NURX Birth control pills,,"Fast free delivery with over 200,000 patients served",,364,6,1.648
Ad 2,[72361737342963],Prolific,NURX: Birth Control For,"$0 with Free, Fast Delivery",,"Request prescription online, free delivery and automatic refills.",No more trips to the doctor's clinic!,399,7,1.754
Ad 2,[72361737339605],Generated,Nurx - Online birth control,"Get a free, fast shipping",,"With or without insurance. Safe, effective convenient access to buy birth control online.",,328,6,1.829
Ad 2,[72361737343205],Prolific,NURX Birth Control,Free Delivery,,"Patch, pill, ring or shot from as little as $0* - free delivery",,436,11,2.523
Ad 2,[72361737340127],Students,Nurx Birth Control,Get The Medical Team for 0$,,"Everyone deserve access to personalized, non judgmental healthcare",,330,9,2.727
Ad 3,[72980212675938],Prolific,Better Nutrition,Direct Diets,,The best diet products with free shipping,,300,1,0.333
Ad 3,[72980212675688],Prolific,Heat up your health,Heat up your health,,With our award winning products and free shipping you can not only save your waist,but also your bank,344,3,0.872
Ad 3,[72980212674779],Students,There’s no tomorrow.,Start yr new healthy life now,,Ordering the leading diet products at the market,,337,3,0.890
Ad 3,[72980212674153],Students,DietDirect,DietDirect,,"Great Nutrition from shakes & drinks, snacks and bars",All in amazing prices and free shipping,304,4,1.316
Ad 3,[72980212676049],Prolific,Be Healthier,Be Healthier,,There is a better way to live. To be healthier.,,314,5,1.592
Ad 3,[72980212676322],Prolific,Spice up your nutrition,Spice up your nutrition,,"Our expert diet plan will help you loose the pounds without breaking the bank,",so what are you waiting for?,405,7,1.728
Ad 3,[72980212674525],Students,Healthy and delicious meal,Minimal effort losing weight,,An easy way to keep your diet with easy cooked meals to order online,,301,6,1.993
Ad 3,[72980212675040],Students,Your diet your success,Your diet your success,,Your diet really influence other people,,426,11,2.582
Ad 3,[72980212673925],Generated,Wonderslim official site,Diet plans from just $5,,Lose weight with us.,,343,9,2.624
Ad 3,[72980212673551],Translated,Diet Direct Official Site,Up to 30% off,,Money back guarantee on all products,High protein diet for you. Shop dietdirect official site now!,481,14,2.911
Ad 3,[72980212675287],Students,Healthy lifestyle starts here,The source of better nutrition,,"Tired of restricting? Best quality supplements, free shipping, and money back guarantee",,307,10,3.257
Ad 3,[72980212673032],Original,Diet Direct Official Site,Get $10 Off Plus Free Shipping,,"Money Back Guarantee on All Products. High Protein Diet Food, Drinks & More!",,453,15,3.311
Ad 4,[72774054220196],Original,Quit Smoking,Zerosmoke Magnets,,Auricular therapy magnets can help to quit smoking. Free shipping!,,417,3,0.719
Ad 4,[72774054222879],Prolific,15.99 to Stop smoking,your money away,,SAVE £100's of dollars,revolutionary way to stop smoking - 20% off now only $15.99,327,3,0.917
Ad 4,[72774054223049],Prolific,Eliminate Smoking Cravings,"Cheap, Subtle, Convenient",,Click to learn how magnets can start your journey to stop smoking.,,327,3,0.917
Ad 4,[72774054222605],Prolific,Unbeatable deals to help you,stop smoking,,"FOR GOOD! Completely Natural, non invasive, Hypoallergenic acupressure Magnets",Could be your key to health and happiness.,392,4,1.020
Ad 4,[72774054222223],Students,Be better version of yourself!,Be better version of yourself!,,"wondering how to stop delay everything all the time. improve yourself,",do more for your happiness and health. don't wait till it will be too late.!,512,6,1.172
Ad 4,[72774054221721],Students,The quickest way,"to quit smoking, enter now!",,The best and easy way to stop smoking,"Only a tiny device on your ear and the smoke quitting is on! Don’t hesitate, enter now",946,16,1.691
Ad 4,[72774060581731],Generated,Quit Smoking,Zerosmoke Magnets,,Order online with fast and free shipping.,Learn more here!,376,7,1.862
Ad 4,[72774054223428],Prolific,Quit Smoking,Quit smoking,,Try these amazing magnets for fast action on quitting smoking,,1379,26,1.885
Ad 4,[72774054221210],Students,Love smoking?,Love smoking?,,Zerosmoke Magnets for a better life,,419,9,2.148
Ad 4,[72774054220971],Students,Anti-Smoking,ZeroSmokes Magnets,,The best way to quit smoking you haven't thought of - buy one and get one free,,368,8,2.174
Ad 4,[72774054220576],Translated,Quit Smoking Zerosmoke,Order online,,Order now! Get discount and free shipping.,,505,12,2.376
Ad 4,[72774054221989],Students,Get your life,in a better version,,Zerosmoke auricular therapy magnets - your easiest way!,"Buy 1, get 2! Best price only for you!",373,9,2.413
Ad 4,[72774054221094],Students,Quit smoking,fast and easy,,"New way to quit smoking with no effort, only $15.99",,497,13,2.616
Ad 4,[72774054223179],Prolific,Quit Smoking,Magnets,,Designed to stop smoking with 100% customer satisfaction,,335,11,3.284
Ad 4,[72774054221467],Students,The fastest way,to stop smoking,,The magic magnets- will make you STOP smoking starting today,,460,18,3.913
Ad 5,[72980212686838],Prolific,Weight loss success,Weight loss success,,Aided help with loosing weight,,314,2,0.637
Ad 5,[72980212685574],Students,Now you can loose weight,with protein shakes!,,High protein and nutrition drinks used by physicians will deliver the result you want!,"We're create the best for you so we know you will succeed, but if you don't- 150% REFUND",367,3,0.817
Ad 5,[72980212684407],Students,Want to look like a model,in one month ?,,"Lose weight, gain muscles, and look amazing!",,355,4,1.127
Ad 5,[72980212685305],Students,Protein weight loss shakes,Results guaranteed!,,Get results or 150% refund on your purchase. now up to 20% discount,,346,4,1.156
Ad 5,[72980212683644],Translated,WonderSlim Official Site,Lose weight with us,,Fast and effective weight loss.,"Money back guarantee. Meal replacement shakes, smoothies, snacks and more !",395,5,1.266
Ad 5,[72980212684918],Students,Tastiest way to loose weight,proven results - Protein Shake,,If it doesn't work out -you'll get your money back! By best seller of 2019 - WonderSlim,,302,4,1.325
Ad 5,[72980212686198],Prolific,Fast & Cheap,Weight Loss Drinks,,"Look no further than here,",where the most affordable shakes and drinks can be delivered right to your door!,343,5,1.458
Ad 5,[72980212685946],Prolific,Dieting with a Difference!,Dieting with a Difference!,,Weight Loss Shakes with a Guarantee,,337,5,1.484
Ad 5,[72980212685035],Students,Lose Weight Fast & Healthy,Wonderslim Protein Shake,,Guaranteed results or get refund 150% of your purchase price!,,321,5,1.558
Ad 5,[72980212683282],Original,WonderSlim Shakes Diet Direct,Save Up To 30% On Bulk Pricing,,WonderSlim Shakes - Save Up To 30% On Multi-Packs & Kits of WonderSlim Shakes,,375,6,1.600
Ad 5,[72980212684659],Students,Protein weight loss drinks,Makes you slim and fit,,"Shake up your weight loss regimen with great-tasting, high-protein shakes for weight loss,",now available here at Diet Direct!,362,7,1.934
Ad 5,[72980212686447],Prolific,Diet direct,Diet direct,,Protein and weight loss shakes. Refer a friend and save 10%,,309,7,2.265
Ad 5,[72980212686581],Prolific,Weight Loss Shakes and Drinks!,Weight Loss Shakes and Drinks!,,Loose weight with shakes and drinks!,,347,9,2.594
Ad 5,[72980212685815],Prolific,Diet and weight loss drinks,Diet and weight loss drinks,,"More flavor choices than other brands, we have a flavor for every single person.",,313,9,2.875
Ad 5,[72980212684144],Generated,Best weight loss shakes,Weight loss drink,,Buy your diet shakes don't have to help you stay strong active .,Learn more! Protein shakes designed to get your weight loss goals.,305,10,3.279
Ad 6,[73048932207901],Generated,Is it measles?,Know more to prevent measles,,Get the most helpful information about measles,,310,3,0.968
Ad 6,[73048932208279],Students,Is your child sick?,It can be dangerous,,Check it yourself - 12 simple symptom to Measles,,394,5,1.269
Ad 6,[73048932208803],Prolific,Health Facts,Health Facts,,"Fever, fatigue and other signs you may have Measles.",,309,4,1.294
Ad 6,[73048932209189],Prolific,Suspected Measles?,Suspected Measles?,,Self-diagnose your own or your loved one's measles: 12 points to diagnosis,,410,6,1.463
Ad 6,[73048932209056],Prolific,Think your child has measles?,Think your child has measles?,,Signs and symptoms of measles to look out for,,435,10,2.299
Ad 6,[73048932208663],Students,12 symptoms of rubeola,12 symptoms of rubeola,,Learn more about this dermatological illness,,303,9,2.970
Ad 6,[73048932207658],Translated,Measles,8 Signs Of Measles,,learn now about 8 common symptoms you should know. For your health.,,341,11,3.226
Ad 6,[73048932206580],Original,Identify Measles,8 Symptoms Of Measles,,Discover now these 8 signs that will help you recognize measles.,,312,11,3.526
Ad 6,[73048932208538],Students,"Small red spots, fever, cough",Is it rubeola?,,"It stings, it itches  - dermatological diagnostic of your symptoms",,314,14,4.459
Ad 7,[72361737361728],Generated,Garcinia Cambogia guide,New diet supplement reviews,,Learn how to choose the best supplement,,308,0,0.000
Ad 7,[72361737367410],Prolific,Holy Grail of HCA,Holy Grail of HCA,,"Weight loss super pill, rare and wonderful",Guaranteed results,336,0,0.000
Ad 7,[72361737367930],Prolific,The Number 1 Garcinia Cambogia,Product is....?,,Don't be misled by nutrition companies false claims.,Find out the number 1 product for Garcinia Cambogia here.,301,0,0.000
Ad 7,[72361737368174],Prolific,Consumer Advice Online 2019,TOP PICK for Garcinia Cambogia,,Find the most effective weight loss wonder pill for you!,,303,1,0.330
Ad 7,[72361737365881],Prolific,Shocking Rare,Fruit Discovered!,,Don't believe the fads.... buy from our reliable source,,317,2,0.631
Ad 7,[72361737364199],Students,I bet you can't even,pronounce it correctly!,,And neither can I! But you don't have to call it by name for its,,331,3,0.906
Ad 7,[72361737365234],Students,Clarity of weight loss,Consumer Advisor Online,,Mythbusting all the fads and recomemending the best for your weightloss,,319,3,0.940
Ad 7,[72361737366910],Prolific,Researched & Proven,Garcinia Cambogia,,Impeccable research has shown the natural supplement,Garcinia Cambogia helps improve weight loss,304,4,1.316
Ad 7,[72361737365091],Students,Want to eat endless,amounts of chocolate?,,For just a little effort and money?,Get the best price for the best product,305,5,1.639
Ad 7,[72361737360984],Original,Melissa Mccarthy's Weight Loss,Don't Buy Before You See This.,,We Tested The Top 78 National Brands. You Will Be Shocked At What We Found.,,303,5,1.650
Ad 7,[72361737361473],Translated,Melissa Mccarthy's Weight Loss,Every thing you should know,,Don't buy before you read. Expert review top brand.,,309,6,1.942
Ad 7,[72361737367661],Prolific,Shocking rare fruit discovery!,Pure and natural!,,Pure and natural. 95% hca! 1 year money back guarantee.,Safe and trusted,301,6,1.993
Ad 7,[72361737366629],Prolific,New weight,loss discovery,,Garcinia Cambogia helps with weight loss,,319,8,2.508
Ad 7,[72361737363940],Students,Natural and easy solution,for losing these extra pounds.,,"What is Garcinia Cambogia, and how can it help you lose weight?",,369,10,2.710
Ad 7,[72361737362247],Students,Quickly lose extra weight!,Quickly lose extra weight!,,Natural and easy solution for losing these extra pounds. Fat and lazy? No more!,,317,18,5.678
Ad 8,[72911493173604],Students,This disease kills,over 80K people in the US only,,Here are 15 foods what can help you control diabetes,,660,13,1.970
Ad 8,[72911493187975],Prolific,Destroy Diabetes,Destroy Diabetes,,15 Tasty and Healthy Snacks That Help Manage Diabetes,,1086,23,2.118
Ad 8,[72911493173884],Students,Taking control of your life,is easier than your think,,"Find out how to control your health with these amazing, healthy foods",to take control of your diabetes,2796,63,2.253
Ad 8,[72911493173744],Students,Diabetes,"from now on, you control her",,All the foods that will help you control your sugar level,,321,11,3.427
Ad 8,[72911493174403],Prolific,Get your diabetes,under control!,,Click here to discover foods which can help manage your diabetes,,630,22,3.492
Ad 8,[72911493175975],Prolific,Jumpstart your diet,and take control of diabetes.,,These are the 12 best foods to manage your blood sugar and improve your health today!,,384,14,3.646
Ad 8,[72911493173017],Students,Let's Be Balanced,Best foods to manage diabetes,,15 tasty and nutritious foods to help you stay healthy!,,318,12,3.774
Ad 8,[72911493187974],Prolific,15 foods to reduce,diabetes risks,,Here are 15 ways you can prevent and stop type 1 and type 2 diabetes,,1139,52,4.565
Ad 8,[72911493158280],Translated,Diabetes,Get the top 10 food now,,Search now highly relevant info! Discover useful advice. Visit us for more info.,,755,36,4.768
Ad 8,[72911493182721],Prolific,Revision practice,Revision practice,,This website will teach and encourage people on how to revise to the best of their ability,,899,44,4.894
Ad 8,[72911493173378],Students,Healthy Foods for Diabetics,Healthy Foods for Diabetics,,Click HERE to know better your new menu,,364,19,5.220
Ad 8,[72911493173258],Students,Discover 15 Secret Foods that,will Help your Diabetes,and Taste Delicious,These foods are delicious and will change the way you manage your diabetes.,"Don’t waste another day without flavor, discover what you need here.",660,40,6.061
Ad 8,[72911493180104],Prolific,Have Diabetes?,These Foods May Cure You,,Find out the top foods that can help deal with diabetes.,,670,41,6.119
Ad 8,[72911493159063],Generated,15 foods that lower,type 2 diabetes,,Get foods that help you feel better!,Check it now. Find foods that help manage your diabetes.,2960,182,6.149
Ad 8,[72911493193267],Prolific,15 Superfoods Diabetics,Need to Know!,,Manage your type 1 and 2 diabetes with these 15 superfoods. Take back control today.,,952,62,6.513
Ad 8,[72911493157863],Original,"Diabetes, What To Eat?",15 Foods For Diabetes,,Check Out These 15 Foods That Can Help You Control Blood Sugar.,,2963,194,6.547
Ad 8,[72911493174003],Students,What Is The 15 Best Foods,For Managing Diabetes?,,Dealing with diabetes in the best way,,726,49,6.749
Ad 9,[72911493195891],Prolific,PET WELLBEING:,MAINTAINING HEALTHY KIDNEY,,Help your dog with preventing kidney disease and boost appetite! sale on now!,,1,0,0.000
Ad 9,[72911493194205],Generated,Dog kidney treatment,Over 1 million pets helped,,Help your dog 's kidney problems fast,,379,3,0.792
Ad 9,[72911493196869],Prolific,Kidney disease in dogs,Pet Wellbeing,Kidney Support Gold,Excellent Trust Pilot reviews. Maintain healthy kidney function in dogs.,Easy dropper application. Proven effects.,343,3,0.875
Ad 9,[72911493199512],Prolific,Kidney support for dogs,Kidney support for dogs,,Maintain healthy kidneys for mans best friend!,,409,4,0.978
Ad 9,[72911493196003],Prolific,Kidney support for dogs,Kidney support for dogs,,Natural support for dogs with kidney diseases,,355,5,1.408
Ad 9,[72911493195512],Students,Love your dog?,Make sure he stays healthy!,,"Supports kidney function in dogs, restores energy and appetite",,343,5,1.458
Ad 9,[72911493204609],Prolific,Improve your dog's health,Improve your dog's health,,"Improve appetite, energy and kidney function with this easy to use product",,314,5,1.592
Ad 9,[72911493195379],Students,Kidney support gold,Kidney support gold,,No more kidney disease for your pet. helps your pet live a well life!,,356,6,1.685
Ad 9,[72911493195122],Students,The best solution,for your pet's health!,,Maintains healthy kidney functions in dogs,,340,6,1.765
Ad 9,[72911493196244],Prolific,Easy product to maintain,and promote healthy lifestyle,for your Dog!,A simple product created to keep your Dog healthy!,Promotes good kidney function increasing energy.,359,7,1.950
Ad 9,[72911493193510],Translated,Dog diet,Get top recommendations,,Official site. Get all answers here. Get all the information you need to know.,Check out top results now.,322,8,2.484
Ad 9,[72911493194707],Students,Help for your dog,Help for your dog,,Kidney support gold - healthy for your dog,,307,8,2.606
Ad 9,[72911493195258],Students,Take care of your pet,Take care of your pet,,Ways to make sure your dog is healthy and happy,,394,12,3.046
Ad 9,[72911493194579],Original,Dogs Kidney Failure Diet,Over 1 million pets served,,Natural Support For Dogs With Kidney Disease And Renal Failure & Helps Hydration,,333,11,3.303
,,,,,,,,,,
